run_id,domain,variant,protocol,repeat,ground_truth_feasible,raw_predicted_infeasible,terminal_causal_failure,cp_terminal_kind,cp_terminal_stage,summary
living_room__F0_ALL_OBJECTS_IN_STAGING__fixed_full_inspection__r00,living_room,F0_ALL_OBJECTS_IN_STAGING,fixed_full_inspection,0,True,True,UNRESOLVED_UNREACHABLE_CORRECTED_GOAL,INVALID_CORRECTION,,corrective response is not a valid replacement PDDL problem
living_room__F0_ALL_OBJECTS_IN_STAGING__initial_observation_only__r00,living_room,F0_ALL_OBJECTS_IN_STAGING,initial_observation_only,0,True,True,UNRESOLVED_UNREACHABLE_CORRECTED_GOAL,INVALID_CORRECTION,,corrective response is not a valid replacement PDDL problem
living_room__F1_LEFT_SAUCER_PREPLACED__fixed_full_inspection__r00,living_room,F1_LEFT_SAUCER_PREPLACED,fixed_full_inspection,0,True,True,UNRESOLVED_UNREACHABLE_CORRECTED_GOAL,INVALID_CORRECTION,,corrective response is not a valid replacement PDDL problem
living_room__F2_LEFT_SAUCER_ON_SHARED__fixed_full_inspection__r00,living_room,F2_LEFT_SAUCER_ON_SHARED,fixed_full_inspection,0,True,True,UNRESOLVED_UNREACHABLE_CORRECTED_GOAL,INVALID_CORRECTION,,corrective response is not a valid replacement PDDL problem
living_room__F2_LEFT_SAUCER_ON_SHARED__initial_observation_only__r00,living_room,F2_LEFT_SAUCER_ON_SHARED,initial_observation_only,0,True,True,UNRESOLVED_INCONSISTENT_CORRECTIVE_FACT_SET,INVALID_CORRECTION,,corrective response is not a valid replacement PDDL problem
living_room__F3_LEFT_CUP_ON_SHARED__fixed_full_inspection__r00,living_room,F3_LEFT_CUP_ON_SHARED,fixed_full_inspection,0,True,True,UNRESOLVED_IDENTITY_FAILURE,INVALID_CORRECTION,,corrective response is not a valid replacement PDDL problem
living_room__F3_LEFT_CUP_ON_SHARED__initial_observation_only__r00,living_room,F3_LEFT_CUP_ON_SHARED,initial_observation_only,0,True,True,UNRESOLVED_IDENTITY_FAILURE,ENTITY_RESOLUTION,ENTITY_RESOLUTION,no class-compatible visible entity is close enough to 'remote_1'
living_room__F4_SAUCER_PREPLACED_CUP_ON_SHARED__fixed_full_inspection__r00,living_room,F4_SAUCER_PREPLACED_CUP_ON_SHARED,fixed_full_inspection,0,True,True,UNRESOLVED_IDENTITY_FAILURE,ENTITY_RESOLUTION,ENTITY_RESOLUTION,no class-compatible visible entity is close enough to 'cup_1'
living_room__F4_SAUCER_PREPLACED_CUP_ON_SHARED__initial_observation_only__r00,living_room,F4_SAUCER_PREPLACED_CUP_ON_SHARED,initial_observation_only,0,True,True,UNRESOLVED_INCONSISTENT_CORRECTIVE_FACT_SET,INVALID_CORRECTION,,corrective response is not a valid replacement PDDL problem
living_room__F5_LEFT_PAIR_ON_SHARED__fixed_full_inspection__r00,living_room,F5_LEFT_PAIR_ON_SHARED,fixed_full_inspection,0,True,True,UNRESOLVED_IDENTITY_FAILURE,INVALID_CORRECTION,,corrective response is not a valid replacement PDDL problem
living_room__F5_LEFT_PAIR_ON_SHARED__initial_observation_only__r00,living_room,F5_LEFT_PAIR_ON_SHARED,initial_observation_only,0,True,True,UNRESOLVED_IDENTITY_FAILURE,INVALID_CORRECTION,,corrective response is not a valid replacement PDDL problem
living_room__I0_NO_SHARED_TABLE__fixed_full_inspection__r00,living_room,I0_NO_SHARED_TABLE,fixed_full_inspection,0,False,True,UNRESOLVED_UNREACHABLE_CORRECTED_GOAL,INVALID_CORRECTION,,corrective response is not a valid replacement PDDL problem
living_room__I0_NO_SHARED_TABLE__initial_observation_only__r00,living_room,I0_NO_SHARED_TABLE,initial_observation_only,0,False,True,UNRESOLVED_UNREACHABLE_CORRECTED_GOAL,INVALID_CORRECTION,,corrective response is not a valid replacement PDDL problem
living_room__I1_NO_LEFT_PERSONAL_TABLE__fixed_full_inspection__r00,living_room,I1_NO_LEFT_PERSONAL_TABLE,fixed_full_inspection,0,False,True,UNRESOLVED_UNREACHABLE_CORRECTED_GOAL,INVALID_CORRECTION,,corrective response is not a valid replacement PDDL problem
living_room__I1_NO_LEFT_PERSONAL_TABLE__initial_observation_only__r00,living_room,I1_NO_LEFT_PERSONAL_TABLE,initial_observation_only,0,False,True,UNRESOLVED_UNREACHABLE_CORRECTED_GOAL,INVALID_CORRECTION,,corrective response is not a valid replacement PDDL problem
living_room__I2_NO_PERSONAL_TABLES__fixed_full_inspection__r00,living_room,I2_NO_PERSONAL_TABLES,fixed_full_inspection,0,False,True,UNRESOLVED_UNREACHABLE_CORRECTED_GOAL,INVALID_CORRECTION,,corrective response is not a valid replacement PDDL problem
living_room__I2_NO_PERSONAL_TABLES__initial_observation_only__r00,living_room,I2_NO_PERSONAL_TABLES,initial_observation_only,0,False,True,UNRESOLVED_UNREACHABLE_CORRECTED_GOAL,INVALID_CORRECTION,,corrective response is not a valid replacement PDDL problem
living_room__I3_NO_TABLES__fixed_full_inspection__r00,living_room,I3_NO_TABLES,fixed_full_inspection,0,False,True,UNRESOLVED_UNREACHABLE_CORRECTED_GOAL,INVALID_CORRECTION,,corrective response is not a valid replacement PDDL problem
living_room__I3_NO_TABLES__initial_observation_only__r00,living_room,I3_NO_TABLES,initial_observation_only,0,False,True,UNRESOLVED_UNREACHABLE_CORRECTED_GOAL,INVALID_CORRECTION,,corrective response is not a valid replacement PDDL problem
workshop__F0_MANUAL_FIRST_ONE_REGION__fixed_full_inspection__r00,workshop,F0_MANUAL_FIRST_ONE_REGION,fixed_full_inspection,0,True,True,SYMBOLIC_NO_PLAN_AFTER_BOUNDED_CP,NO_PLAN,NO_PLAN,Fast Downward search exited with 12
workshop__F0_MANUAL_FIRST_ONE_REGION__initial_observation_only__r00,workshop,F0_MANUAL_FIRST_ONE_REGION,initial_observation_only,0,True,True,UNRESOLVED_REFINEMENT_FAILURE,INVALID_CORRECTION,,corrective response is not a valid replacement PDDL problem
workshop__F1_POWER_FIRST_ONE_REGION__fixed_full_inspection__r00,workshop,F1_POWER_FIRST_ONE_REGION,fixed_full_inspection,0,True,True,SYMBOLIC_NO_PLAN_AFTER_BOUNDED_CP,NO_PLAN,NO_PLAN,Fast Downward search exited with 12
workshop__F1_POWER_FIRST_ONE_REGION__initial_observation_only__r00,workshop,F1_POWER_FIRST_ONE_REGION,initial_observation_only,0,True,True,UNRESOLVED_UNREACHABLE_CORRECTED_GOAL,INVALID_CORRECTION,,corrective response is not a valid replacement PDDL problem
workshop__F2_MANUAL_FIRST_TWO_REGIONS__fixed_full_inspection__r00,workshop,F2_MANUAL_FIRST_TWO_REGIONS,fixed_full_inspection,0,True,True,UNRESOLVED_IDENTITY_FAILURE,ENTITY_RESOLUTION,ENTITY_RESOLUTION,no class-compatible visible entity is close enough to 'driver_1'
workshop__F2_MANUAL_FIRST_TWO_REGIONS__initial_observation_only__r00,workshop,F2_MANUAL_FIRST_TWO_REGIONS,initial_observation_only,0,True,True,UNRESOLVED_UNREACHABLE_CORRECTED_GOAL,INVALID_CORRECTION,,corrective response is not a valid replacement PDDL problem
workshop__F3_POWER_FIRST_TWO_REGIONS__fixed_full_inspection__r00,workshop,F3_POWER_FIRST_TWO_REGIONS,fixed_full_inspection,0,True,True,UNRESOLVED_IDENTITY_FAILURE,ENTITY_RESOLUTION,ENTITY_RESOLUTION,no class-compatible visible entity is close enough to 'driver_1'
workshop__F3_POWER_FIRST_TWO_REGIONS__initial_observation_only__r00,workshop,F3_POWER_FIRST_TWO_REGIONS,initial_observation_only,0,True,True,UNRESOLVED_UNREACHABLE_CORRECTED_GOAL,INVALID_CORRECTION,,corrective response is not a valid replacement PDDL problem
workshop__F4_MANUAL_FIRST_THREE_REGIONS__fixed_full_inspection__r00,workshop,F4_MANUAL_FIRST_THREE_REGIONS,fixed_full_inspection,0,True,True,UNRESOLVED_IDENTITY_FAILURE,ENTITY_RESOLUTION,ENTITY_RESOLUTION,no class-compatible visible entity is close enough to 'driver_1'
workshop__F4_MANUAL_FIRST_THREE_REGIONS__initial_observation_only__r00,workshop,F4_MANUAL_FIRST_THREE_REGIONS,initial_observation_only,0,True,True,UNRESOLVED_IDENTITY_FAILURE,ENTITY_RESOLUTION,ENTITY_RESOLUTION,no class-compatible visible entity is close enough to 'driver_1'
workshop__F5_POWER_FIRST_THREE_REGIONS__fixed_full_inspection__r00,workshop,F5_POWER_FIRST_THREE_REGIONS,fixed_full_inspection,0,True,True,UNRESOLVED_IDENTITY_FAILURE,ENTITY_RESOLUTION,ENTITY_RESOLUTION,no class-compatible visible entity is close enough to 'driver_1'
workshop__F5_POWER_FIRST_THREE_REGIONS__initial_observation_only__r00,workshop,F5_POWER_FIRST_THREE_REGIONS,initial_observation_only,0,True,True,UNRESOLVED_IDENTITY_FAILURE,INVALID_CORRECTION,,corrective response is not a valid replacement PDDL problem
workshop__F6_MANUAL_ONLY__initial_observation_only__r00,workshop,F6_MANUAL_ONLY,initial_observation_only,0,True,True,UNRESOLVED_UNREACHABLE_CORRECTED_GOAL,INVALID_CORRECTION,,corrective response is not a valid replacement PDDL problem
workshop__F7_POWER_ONLY__fixed_full_inspection__r00,workshop,F7_POWER_ONLY,fixed_full_inspection,0,True,True,UNRESOLVED_IDENTITY_FAILURE,INVALID_CORRECTION,,corrective response is not a valid replacement PDDL problem
workshop__F7_POWER_ONLY__initial_observation_only__r00,workshop,F7_POWER_ONLY,initial_observation_only,0,True,True,UNRESOLVED_UNREACHABLE_CORRECTED_GOAL,INVALID_CORRECTION,,corrective response is not a valid replacement PDDL problem
workshop__I0_NO_DRIVER__fixed_full_inspection__r00,workshop,I0_NO_DRIVER,fixed_full_inspection,0,False,True,SYMBOLIC_NO_PLAN_AFTER_BOUNDED_CP,NO_PLAN,NO_PLAN,Fast Downward search exited with 12
workshop__I0_NO_DRIVER__initial_observation_only__r00,workshop,I0_NO_DRIVER,initial_observation_only,0,False,True,UNRESOLVED_IDENTITY_FAILURE,ENTITY_RESOLUTION,ENTITY_RESOLUTION,no class-compatible visible entity is close enough to 'driver_1'
workshop__I1_NO_SCREW__fixed_full_inspection__r00,workshop,I1_NO_SCREW,fixed_full_inspection,0,False,True,UNRESOLVED_UNREACHABLE_CORRECTED_GOAL,INVALID_CORRECTION,,corrective response is not a valid replacement PDDL problem
workshop__I1_NO_SCREW__initial_observation_only__r00,workshop,I1_NO_SCREW,initial_observation_only,0,False,True,UNRESOLVED_UNREACHABLE_CORRECTED_GOAL,INVALID_CORRECTION,,corrective response is not a valid replacement PDDL problem
