run_id,domain,variant,observation_protocol,repeat_index,seed,source_commit,raw_terminal_status,infrastructure_failure,causal_category,cp_terminal_kind,cp_terminal_stage,cp_terminal_summary,observation_success,object_estimation_success,initial_state_success,goal_state_success,pddl_valid,fd_invoked,symbolic_plan_found,symbolic_plan_nonempty,val_plan_valid,identity_attempted,identity_success,refinement_attempted,refinement_success,execution_projection_available,execution_attempted,execution_success,generated_goal_evaluated,hidden_benchmark_evaluated,first_plan_attempt_index,first_nonempty_plan_attempt_index,number_of_symbolic_plans_generated,number_of_nonempty_symbolic_plans,number_of_val_valid_plans,best_symbolic_plan_length,final_selected_plan_length,actual_task_success,ground_truth_feasible,raw_predicted_infeasible,generated_goal_satisfied,generated_goal_atoms_passed,generated_goal_atoms_total,generated_goal_atom_coverage,benchmark_requirements_passed,benchmark_requirements_total,benchmark_requirement_coverage,fm_calls,object_calls,init_calls,goal_calls,cp_calls,inspections,controller_actions,end_to_end_seconds,fm_latency_seconds,symbolic_planning_seconds,refinement_seconds,execution_seconds
kitchen__F1_HIDDEN_COFFEE_VESSEL__initial_observation_only__r02,kitchen,F1_HIDDEN_COFFEE_VESSEL,initial_observation_only,2,240012,4532495142b7a365d8bdba43f1776ab798818a28,REFINEMENT_FAILURE,False,UNRESOLVED_REFINEMENT_FAILURE,REFINEMENT,IK,no grasp candidate satisfies the IK tolerances,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,True,0,0,4,4,4,3,,False,True,True,,0,0,,4,8,0.5,8,2,1,2,3,0,0,69.60097323099035,43.452483235974796,0.14280344298458658,,0.0
kitchen__F1_HIDDEN_COFFEE_VESSEL__initial_observation_only__r03,kitchen,F1_HIDDEN_COFFEE_VESSEL,initial_observation_only,3,240013,4532495142b7a365d8bdba43f1776ab798818a28,REFINEMENT_FAILURE,False,UNRESOLVED_REFINEMENT_FAILURE,REFINEMENT,IK,no grasp candidate satisfies the IK tolerances,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,True,0,0,4,4,4,6,,False,True,True,,0,0,,4,8,0.5,8,2,1,2,3,0,0,231.09541204100242,63.93583762799972,0.15670479100663215,,0.0
kitchen__F1_HIDDEN_COFFEE_VESSEL__initial_observation_only__r04,kitchen,F1_HIDDEN_COFFEE_VESSEL,initial_observation_only,4,240014,4532495142b7a365d8bdba43f1776ab798818a28,REFINEMENT_FAILURE,False,UNRESOLVED_REFINEMENT_FAILURE,REFINEMENT,IK,no grasp candidate satisfies the IK tolerances,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,True,0,0,4,4,4,3,,False,True,True,,0,0,,4,8,0.5,8,2,1,2,3,0,0,72.39668366999831,47.10024122297182,0.13339048100169748,,0.0
kitchen__F2_HIDDEN_SOUP_BOWL__fixed_full_inspection__r00,kitchen,F2_HIDDEN_SOUP_BOWL,fixed_full_inspection,0,240025,4532495142b7a365d8bdba43f1776ab798818a28,BENCHMARK_FAILURE,False,PLAN_FOUND,,,,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,0,,1,0,1,0,0,False,True,False,False,0,2,0.0,4,8,0.5,5,1,2,2,0,5,,69.4265193240135,61.142899400991155,0.15683437400730327,,0.03898208698956296
kitchen__F2_HIDDEN_SOUP_BOWL__fixed_full_inspection__r01,kitchen,F2_HIDDEN_SOUP_BOWL,fixed_full_inspection,1,240026,4532495142b7a365d8bdba43f1776ab798818a28,IDENTITY_FAILURE,False,UNRESOLVED_IDENTITY_FAILURE,INVALID_CORRECTION,,corrective response is not a valid replacement PDDL problem,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,True,0,0,1,1,1,3,,False,True,True,,0,0,,4,8,0.5,8,1,2,2,3,5,0,96.76832504902268,89.40172761504073,0.13673348299926147,,0.0
kitchen__F2_HIDDEN_SOUP_BOWL__fixed_full_inspection__r02,kitchen,F2_HIDDEN_SOUP_BOWL,fixed_full_inspection,2,240027,4532495142b7a365d8bdba43f1776ab798818a28,PREDICTED_INFEASIBLE,False,UNRESOLVED_INVALID_CORRECTION,INVALID_CORRECTION,,corrective response is not a valid replacement PDDL problem,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,,,0,0,0,,,False,True,True,,0,0,,4,8,0.5,8,1,2,2,3,5,0,69.30393455200829,61.94633250698098,,,0.0
kitchen__F2_HIDDEN_SOUP_BOWL__fixed_full_inspection__r03,kitchen,F2_HIDDEN_SOUP_BOWL,fixed_full_inspection,3,240028,4532495142b7a365d8bdba43f1776ab798818a28,PREDICTED_INFEASIBLE,False,UNRESOLVED_INVALID_CORRECTION,INVALID_CORRECTION,,corrective response is not a valid replacement PDDL problem,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,,,0,0,0,,,False,True,True,,0,0,,4,8,0.5,8,1,2,2,3,5,0,163.1788057310041,154.7230910869839,,,0.0
kitchen__F2_HIDDEN_SOUP_BOWL__fixed_full_inspection__r04,kitchen,F2_HIDDEN_SOUP_BOWL,fixed_full_inspection,4,240029,4532495142b7a365d8bdba43f1776ab798818a28,IDENTITY_FAILURE,False,UNRESOLVED_IDENTITY_FAILURE,INVALID_CORRECTION,,corrective response is not a valid replacement PDDL problem,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,True,0,0,1,1,1,13,,False,True,True,,0,0,,4,8,0.5,6,1,1,1,3,5,0,45.439976658002706,37.74766853899928,0.1371823340014089,,0.0
kitchen__F2_HIDDEN_SOUP_BOWL__initial_observation_only__r00,kitchen,F2_HIDDEN_SOUP_BOWL,initial_observation_only,0,240020,4532495142b7a365d8bdba43f1776ab798818a28,PREDICTED_INFEASIBLE,False,UNRESOLVED_INVALID_CORRECTION,INVALID_CORRECTION,,corrective response is not a valid replacement PDDL problem,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,,,0,0,0,,,False,True,True,,0,0,,4,8,0.5,9,2,2,2,3,0,0,54.5385122380103,52.95577497899649,,,0.0
kitchen__F2_HIDDEN_SOUP_BOWL__initial_observation_only__r01,kitchen,F2_HIDDEN_SOUP_BOWL,initial_observation_only,1,240021,4532495142b7a365d8bdba43f1776ab798818a28,PREDICTED_INFEASIBLE,False,UNRESOLVED_INVALID_CORRECTION,INVALID_CORRECTION,,corrective response is not a valid replacement PDDL problem,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,,,0,0,0,,,False,True,True,,0,0,,4,8,0.5,8,2,1,2,3,0,0,41.78892739501316,40.11390082296566,,,0.0
kitchen__F2_HIDDEN_SOUP_BOWL__initial_observation_only__r02,kitchen,F2_HIDDEN_SOUP_BOWL,initial_observation_only,2,240022,4532495142b7a365d8bdba43f1776ab798818a28,PREDICTED_INFEASIBLE,False,UNRESOLVED_INVALID_CORRECTION,INVALID_CORRECTION,,corrective response is not a valid replacement PDDL problem,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,,,0,0,0,,,False,True,True,,0,0,,4,8,0.5,8,2,1,2,3,0,0,55.35196091598482,53.82441974399262,,,0.0
kitchen__F2_HIDDEN_SOUP_BOWL__initial_observation_only__r03,kitchen,F2_HIDDEN_SOUP_BOWL,initial_observation_only,3,240023,4532495142b7a365d8bdba43f1776ab798818a28,PREDICTED_INFEASIBLE,False,UNRESOLVED_INVALID_CORRECTION,INVALID_CORRECTION,,corrective response is not a valid replacement PDDL problem,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,,,0,0,0,,,False,True,True,,0,0,,4,8,0.5,9,2,2,2,3,0,0,80.90459325900883,79.33793355402304,,,0.0
kitchen__F2_HIDDEN_SOUP_BOWL__initial_observation_only__r04,kitchen,F2_HIDDEN_SOUP_BOWL,initial_observation_only,4,240024,4532495142b7a365d8bdba43f1776ab798818a28,PREDICTED_INFEASIBLE,False,UNRESOLVED_INVALID_CORRECTION,INVALID_CORRECTION,,corrective response is not a valid replacement PDDL problem,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,,,0,0,0,,,False,True,True,,0,0,,4,8,0.5,8,2,1,2,3,0,0,70.17404581297887,68.6328884359973,,,0.0
kitchen__F3_HIDDEN_VESSELS_MIXED__fixed_full_inspection__r00,kitchen,F3_HIDDEN_VESSELS_MIXED,fixed_full_inspection,0,240035,4532495142b7a365d8bdba43f1776ab798818a28,FM_OBJECT_FAILURE,False,UNRESOLVED_FM_FAILURE,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,0,0,0,,,False,,,,0,0,,0,0,,,0,0,0,0,0,0,109.44848,,,,
kitchen__F3_HIDDEN_VESSELS_MIXED__fixed_full_inspection__r01,kitchen,F3_HIDDEN_VESSELS_MIXED,fixed_full_inspection,1,240036,4532495142b7a365d8bdba43f1776ab798818a28,FM_OBJECT_FAILURE,False,UNRESOLVED_FM_FAILURE,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,0,0,0,,,False,,,,0,0,,0,0,,,0,0,0,0,0,0,119.784115,,,,
kitchen__F3_HIDDEN_VESSELS_MIXED__fixed_full_inspection__r02,kitchen,F3_HIDDEN_VESSELS_MIXED,fixed_full_inspection,2,240037,4532495142b7a365d8bdba43f1776ab798818a28,FM_OBJECT_FAILURE,False,UNRESOLVED_FM_FAILURE,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,0,0,0,,,False,,,,0,0,,0,0,,,0,0,0,0,0,0,229.930053,,,,
kitchen__F3_HIDDEN_VESSELS_MIXED__fixed_full_inspection__r03,kitchen,F3_HIDDEN_VESSELS_MIXED,fixed_full_inspection,3,240038,4532495142b7a365d8bdba43f1776ab798818a28,FM_OBJECT_FAILURE,False,UNRESOLVED_FM_FAILURE,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,0,0,0,,,False,,,,0,0,,0,0,,,0,0,0,0,0,0,114.863414,,,,
kitchen__F3_HIDDEN_VESSELS_MIXED__fixed_full_inspection__r04,kitchen,F3_HIDDEN_VESSELS_MIXED,fixed_full_inspection,4,240039,4532495142b7a365d8bdba43f1776ab798818a28,FM_OBJECT_FAILURE,False,UNRESOLVED_FM_FAILURE,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,0,0,0,,,False,,,,0,0,,0,0,,,0,0,0,0,0,0,112.100573,,,,
kitchen__F3_HIDDEN_VESSELS_MIXED__initial_observation_only__r00,kitchen,F3_HIDDEN_VESSELS_MIXED,initial_observation_only,0,240030,4532495142b7a365d8bdba43f1776ab798818a28,PREDICTED_INFEASIBLE,False,UNRESOLVED_INVALID_CORRECTION,INVALID_CORRECTION,,corrective response is not a valid replacement PDDL problem,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,,,0,0,0,,,False,True,True,,0,0,,4,8,0.5,7,1,1,2,3,0,0,65.35457175399642,63.764506628969684,,,0.0
kitchen__F3_HIDDEN_VESSELS_MIXED__initial_observation_only__r01,kitchen,F3_HIDDEN_VESSELS_MIXED,initial_observation_only,1,240031,4532495142b7a365d8bdba43f1776ab798818a28,PREDICTED_INFEASIBLE,False,UNRESOLVED_INVALID_CORRECTION,INVALID_CORRECTION,,corrective response is not a valid replacement PDDL problem,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,,,0,0,0,,,False,True,True,,0,0,,4,8,0.5,7,1,1,2,3,0,0,101.10926823000773,99.49600579298567,,,0.0
kitchen__F3_HIDDEN_VESSELS_MIXED__initial_observation_only__r02,kitchen,F3_HIDDEN_VESSELS_MIXED,initial_observation_only,2,240032,4532495142b7a365d8bdba43f1776ab798818a28,PREDICTED_INFEASIBLE,False,UNRESOLVED_INVALID_CORRECTION,INVALID_CORRECTION,,corrective response is not a valid replacement PDDL problem,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,,,0,0,0,,,False,True,True,,0,0,,4,8,0.5,7,1,1,2,3,0,0,97.80773780698655,96.25269638502505,,,0.0
kitchen__F3_HIDDEN_VESSELS_MIXED__initial_observation_only__r03,kitchen,F3_HIDDEN_VESSELS_MIXED,initial_observation_only,3,240033,4532495142b7a365d8bdba43f1776ab798818a28,PREDICTED_INFEASIBLE,False,UNRESOLVED_INVALID_CORRECTION,INVALID_CORRECTION,,corrective response is not a valid replacement PDDL problem,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,,,0,0,0,,,False,True,True,,0,0,,4,8,0.5,7,1,1,2,3,0,0,55.61307691701222,54.096112085011555,,,0.0
kitchen__F3_HIDDEN_VESSELS_MIXED__initial_observation_only__r04,kitchen,F3_HIDDEN_VESSELS_MIXED,initial_observation_only,4,240034,4532495142b7a365d8bdba43f1776ab798818a28,PREDICTED_INFEASIBLE,False,UNRESOLVED_INVALID_CORRECTION,INVALID_CORRECTION,,corrective response is not a valid replacement PDDL problem,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,,,0,0,0,,,False,True,True,,0,0,,4,8,0.5,7,1,1,2,3,0,0,80.83340268299798,79.10710488498444,,,0.0
kitchen__F4_TOOLS_IN_DRAWERS__fixed_full_inspection__r00,kitchen,F4_TOOLS_IN_DRAWERS,fixed_full_inspection,0,240045,4532495142b7a365d8bdba43f1776ab798818a28,FM_OBJECT_FAILURE,False,UNRESOLVED_FM_FAILURE,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,0,0,0,,,False,,,,0,0,,0,0,,,0,0,0,0,0,0,116.910217,,,,
kitchen__F4_TOOLS_IN_DRAWERS__fixed_full_inspection__r01,kitchen,F4_TOOLS_IN_DRAWERS,fixed_full_inspection,1,240046,4532495142b7a365d8bdba43f1776ab798818a28,FM_OBJECT_FAILURE,False,UNRESOLVED_FM_FAILURE,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,0,0,0,,,False,,,,0,0,,0,0,,,0,0,0,0,0,0,130.602993,,,,
kitchen__F4_TOOLS_IN_DRAWERS__fixed_full_inspection__r02,kitchen,F4_TOOLS_IN_DRAWERS,fixed_full_inspection,2,240047,4532495142b7a365d8bdba43f1776ab798818a28,FM_OBJECT_FAILURE,False,UNRESOLVED_FM_FAILURE,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,0,0,0,,,False,,,,0,0,,0,0,,,0,0,0,0,0,0,127.153139,,,,
kitchen__F4_TOOLS_IN_DRAWERS__fixed_full_inspection__r03,kitchen,F4_TOOLS_IN_DRAWERS,fixed_full_inspection,3,240048,4532495142b7a365d8bdba43f1776ab798818a28,FM_OBJECT_FAILURE,False,UNRESOLVED_FM_FAILURE,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,0,0,0,,,False,,,,0,0,,0,0,,,0,0,0,0,0,0,136.886636,,,,
kitchen__F4_TOOLS_IN_DRAWERS__fixed_full_inspection__r04,kitchen,F4_TOOLS_IN_DRAWERS,fixed_full_inspection,4,240049,4532495142b7a365d8bdba43f1776ab798818a28,FM_OBJECT_FAILURE,False,UNRESOLVED_FM_FAILURE,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,0,0,0,,,False,,,,0,0,,0,0,,,0,0,0,0,0,0,120.655042,,,,
kitchen__F4_TOOLS_IN_DRAWERS__initial_observation_only__r00,kitchen,F4_TOOLS_IN_DRAWERS,initial_observation_only,0,240040,4532495142b7a365d8bdba43f1776ab798818a28,IDENTITY_FAILURE,False,UNRESOLVED_IDENTITY_FAILURE,INVALID_CORRECTION,,corrective response is not a valid replacement PDDL problem,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,True,1,1,1,1,1,9,,False,True,True,,0,0,,4,8,0.5,7,1,1,2,3,0,0,290.1875103589846,286.42694209094043,0.13338593300431967,,0.0
kitchen__F4_TOOLS_IN_DRAWERS__initial_observation_only__r01,kitchen,F4_TOOLS_IN_DRAWERS,initial_observation_only,1,240041,4532495142b7a365d8bdba43f1776ab798818a28,IDENTITY_FAILURE,False,UNRESOLVED_IDENTITY_FAILURE,INVALID_CORRECTION,,corrective response is not a valid replacement PDDL problem,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,True,1,1,1,1,1,9,,False,True,True,,0,0,,4,8,0.5,7,1,1,2,3,0,0,88.28652590801357,86.37483605294256,0.13162837098934688,,0.0
kitchen__F4_TOOLS_IN_DRAWERS__initial_observation_only__r02,kitchen,F4_TOOLS_IN_DRAWERS,initial_observation_only,2,240042,4532495142b7a365d8bdba43f1776ab798818a28,IDENTITY_FAILURE,False,UNRESOLVED_IDENTITY_FAILURE,INVALID_CORRECTION,,corrective response is not a valid replacement PDDL problem,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,True,1,1,1,1,1,9,,False,True,True,,0,0,,4,8,0.5,7,1,1,2,3,0,0,100.1079262420244,98.30111703500734,0.13615622199722566,,0.0
kitchen__F4_TOOLS_IN_DRAWERS__initial_observation_only__r03,kitchen,F4_TOOLS_IN_DRAWERS,initial_observation_only,3,240043,4532495142b7a365d8bdba43f1776ab798818a28,IDENTITY_FAILURE,False,UNRESOLVED_IDENTITY_FAILURE,INVALID_CORRECTION,,corrective response is not a valid replacement PDDL problem,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,True,1,1,1,1,1,9,,False,True,True,,0,0,,4,8,0.5,7,1,1,2,3,0,0,238.62810507797985,236.77779441102757,0.1700386259763036,,0.0
